Chips,CPU cores,GPU cores,Price (£),Ram (GB),Rom (GB),,,,,,,,,,,
M6,12,12,899,16,256,,,,,,,,,,,
M5 Pro,15,16,1699,24,512,,,,,,,,,,,
M5 Pro,18,20,1899,24,512,,,,,,,,,,,
M5 Max,18,32,2499,36,512,,,,,,,,,,,
M5 Max,18,40,3099,48,512,,,,,,,,,,,
M5 Ultra,30,64,5499,96,1024,,,,,,,,,,,
M5 Ultra,36,80,6799,96,1024,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Under observations 1&2,,,,,,,,,,,,,,,,
Chips,CPU cores,GPU cores,Price (£),Ram (GB),Rom (GB),Total cores,Upgrade cost per core,Cumulative upgrade cost per core,,,,,,,,
M6,12,12,899,16,256,24,,,,,,,,,,
M5 Pro,15,16,1299,16,256,31,57.14285714,57.14285714,,,,,,,,
M5 Pro,18,20,1499,16,256,38,28.57142857,42.85714286,,,,,,,,
M5 Max,18,32,1799,16,256,50,25,34.61538462,,,,,,,,
M5 Max,18,40,2099,16,256,58,37.5,35.29411765,,,,,,,,
M5 Ultra,30,64,3149,16,256,94,29.16666667,32.14285714,,,,,,,,
M5 Ultra,36,80,4449,16,256,116,59.09090909,38.58695652,,,,,,,,
,,,,,,,,,,,,,,,,
Under observations 1&2,,,,,,,,,,,,,,,,
Chips,CPU cores,GPU cores,Price (£),Ram (GB),Rom (GB),Total cores,iGPU-FP32 (TFLOPS),Geekbench 6 (Single-Core),Geekbench 6 (Multi-Core),Standard Score,Score (Type 1),Score (Type 2),Score (Type 3),Score (Type 4),Score (Type 5),Score (Type 6)
M6,12,12,899,16,256,24,4.98,4501,21312,1,1,1,1,1,1,1
M5 Pro,15,16,1299,16,256,31,6.64,4254,25906,1.164671983,1.20683732,1.218614723,1.156238915,1.181538118,1.130939713,1.232136523
M5 Pro,18,20,1499,16,256,38,8.29,4312,28467,1.319464772,1.405763238,1.438656466,1.302205079,1.353984159,1.250426,1.457542317
M5 Max,18,32,1799,16,256,50,13.27,4283,29068,1.66005046,1.911202504,2.041275724,1.609820051,1.760511277,1.459128825,2.06189373
M5 Max,18,40,2099,16,256,58,16.59,4355,30217,1.905575927,2.26201327,2.453361829,1.834288458,2.048150864,1.620426052,2.475875676
M5 Ultra,30,64,3149,16,256,94,26.54,4688,39193,2.736624826,3.384797937,3.733828575,2.606990204,2.99589407,2.218086337,3.773701803
M5 Ultra,36,80,4449,16,256,116,33.18,4710,42327,3.231716306,4.08944988,4.557108521,3.060169591,3.574809735,2.545529446,4.604090024
,,,,,,,,,,,,,,,,
Chips,CPU cores,GPU cores,Price (£),Ram (GB),Rom (GB),Total cores,CP Score,CP Score (Type 1),CP Score (Type 2),CP Score (Type 3),CP Score (Type 4),CP Score (Type 5),CP Score (Type 6),,,
M6,12,12,899,16,256,24,1,1,1,1,1,1,1,,,
M5 Pro,15,16,1299,16,256,31,0.806035499,0.835216898,0.843367695,0.800199219,0.817708059,0.782690379,0.852725738,,,
M5 Pro,18,20,1499,16,256,38,0.791326771,0.843082822,0.862809982,0.780975561,0.812029192,0.749921931,0.874136453,,,
M5 Max,18,32,1799,16,256,50,0.829563848,0.955070067,1.020070526,0.804462605,0.879766336,0.729158874,1.030373798,,,
M5 Max,18,40,2099,16,256,58,0.816156626,0.968818452,1.050772884,0.785624261,0.877221356,0.694027166,1.060415547,,,
M5 Ultra,30,64,3149,16,256,94,0.781272061,0.966317353,1.065961222,0.744263002,0.855290178,0.633235826,1.077344529,,,
